,Date,Hour,Offense Type,Beat,Premise,Type,Suffix,Offenses,address
0,01/01/2018,18,Robbery,10H10,"Field, Woods, Forest, Park",-,-,1,"200 LENOX,Houston, TX"
1,01/01/2018,18,Theft,10H10,"Road, Street, or Sidewalk",DR,-,1,"3700 HOUSTON LAKE,Houston, TX"
2,01/02/2018,14,Theft,10H10,Auto Repair,-,-,1,"16700 EASTEX,Houston, TX"
3,01/04/2018,8,Burglary,10H10,Auto Repair,BLVD,-,1,"4700 HARRISBURG,Houston, TX"
4,01/04/2018,18,Theft,10H10,Department or Discount Store,BLVD,-,1,"5100 HARRISBURG,Houston, TX"
5,01/05/2018,11,Theft,10H10,Residence or House,ST,-,1,"4700 CAPITOL ST,Houston, TX"
6,01/05/2018,18,Aggravated Assault,10H10,"Road, Street, or Sidewalk",-,-,1,"5000 SHERMAN,Houston, TX"
7,01/06/2018,10,Theft,10H10,Vacant Building (Commercial),ST,-,1,"7700 BOWEN,Houston, TX"
8,01/06/2018,16,Theft,10H10,Commercial Parking Lot or Garage,-,-,1,"2100 RUNNELS,Houston, TX"
9,01/07/2018,10,Burglary,10H10,Garage or Carport,-,-,1,"2300 SPERBER LN,Houston, TX"
10,01/07/2018,16,Theft,10H10,"Other, Unknown, or Not Listed",-,-,1,"1900 RUNNELS,Houston, TX"
11,01/10/2018,6,Theft,10H10,Driveway,-,-,1,"4200 ENGELKE,Houston, TX"
12,01/10/2018,13,Theft,10H10,Other Parking Lot,LN,-,1,"3900 ADDISON RANCH,Houston, TX"
13,01/11/2018,8,Theft,10H10,Driveway,ST,-,1,"500 N SIDNEY ST,Houston, TX"
14,01/11/2018,23,Burglary,10H10,Restaurant or Cafeteria,BLVD,-,1,"3800 HARRISBURG,Houston, TX"
15,01/13/2018,21,Theft,10H10,Department or Discount Store,BLVD,-,1,"4500 HARRISBURG,Houston, TX"
16,01/14/2018,19,Robbery,10H10,"Road, Street, or Sidewalk",-,-,1,"2800 CANAL ST. APT.,Houston, TX"
17,01/15/2018,19,Theft,10H10,"Road, Street, or Sidewalk",-,-,1,"2200 NAVIGATION,Houston, TX"
18,01/18/2018,12,Aggravated Assault,10H10,Residence or House,ST,-,1,"7800 FULTON,Houston, TX"
19,01/21/2018,11,Theft,10H10,Residence or House,ST,-,1,"200 BLANCHE ST,Houston, TX"
20,01/21/2018,12,Theft,10H10,Residence or House,ST,-,1,"200 BLANCHE ST,Houston, TX"
21,01/22/2018,19,Theft,10H10,Social Services or Public Charities,ST,-,1,"2800 CANAL,Houston, TX"
22,01/22/2018,21,Burglary,10H10,Miscellaneous Business (Non-Specific),ST,N,1,"400 YORK,Houston, TX"
23,01/25/2018,14,Theft,10H10,Commercial Building,BLVD,-,1,"5800 HARRISBURG BLVD,Houston, TX"
24,01/26/2018,20,Burglary,10H10,Restaurant or Cafeteria,BLVD,-,1,"5000 NAVIGATION,Houston, TX"
25,01/27/2018,6,Burglary,10H10,Restaurant or Cafeteria,BLVD,-,1,"5000 NAVIGATION,Houston, TX"
26,01/27/2018,12,Burglary,10H10,Residence or House,ST,-,1,"200 N SUPER ST,Houston, TX"
27,01/28/2018,16,Aggravated Assault,10H10,Residence or House,DR,-,1,"15300 KINGFIELD,Houston, TX"
